number.json,type,content
10565.json,barely-true,"['rhode', 'island', 'invest', 'less', 'tourism', ',', 'econom', 'develop', 'econom', 'develop', 'personnel', 'four', 'nearbi', 'state', '.']"
5204.json,half-true,"['presid', 'obama', 'said', 'go', 'cut', 'veteran', 'benefit', '.']"
10133.json,half-true,"['say', 'scott', 'walker', 'forc', 'women', 'undergo', 'transvagin', 'probe', 'get', 'abort', '.']"
10718.json,mostly-true,"['nineti', 'percent', 'american', 'worker', 'dont', 'busi', '.']"
4027.json,pants-fire,"['protest', 'caus', '$', '<num>', 'million', 'damag', 'wisconsin', 'state', 'hous']"
8485.json,false,"['insur', 'industri', 'actual', 'run', 'mostli', 'democrat', '.']"
9621.json,half-true,"['say', '<num>', '-year-old', 'girl', 'recent', 'rape', 'austin', ',', 'texa', ',', 'guy', 'previous', 'caught', 'four', 'time', 'releas', '.']"
11572.json,half-true,"['period', 'roughli', '<num>', 'hour', ',', 'small', 'group', 'angri', 'black', 'student', 'manag', 'forc', 'resign', 'two', 'highest', 'rank', 'offici', 'school', '.']"
6673.json,barely-true,"['weve', 'doubl', 'use', 'renew', 'energi', '.']"
12116.json,mostly-true,"['last', '<num>', 'year', ',', 'extrem', 'poverti', 'cut', 'half', '.']"
12797.json,barely-true,"['<num>', ',', 'first', 'year', 'mayor', ',', 'julin', 'castro', 'receiv', 'seven-figur', 'referr', 'fee', 'smell', 'like', 'dirti', 'financi', 'gift', 'notori', 'person', 'injuri', 'lawyer', 'mikal', 'watt', ',', 'major', 'obama', 'donor', '.']"
3701.json,mostly-true,"['hous', 'republican', 'plan', 'would', 'increas', 'cost', 'oregon', 'senior', '$', '<num>', 'health', 'care', 'voucher', 'instead', 'medicar']"
1206.json,mostly-true,"['nation', 'secur', 'agenc', 'say', '(', 'iran', ""'s"", ')', 'nuclear', 'ambit', 'advanc', ',', 'time', '...', 'slash', 'nuclear', 'arsen', '.']"
9043.json,barely-true,"['recent', 'hous', 'special', 'elect', 'florida', ',', 'democrat', 'got', 'outspent', 'republican', 'district', '.']"
8003.json,mostly-true,"['say', 'grow', 'number', 'extrem', 'prematur', 'babi', 'surviv', 'healthi', 'childhood', '.']"
12192.json,barely-true,"['mention', 'villanova', 'buzzer-b', 'win', 'nation', 'championship', ',', 'hillari', 'clinton', 'said', ':', 'love', 'come-from-behind', 'victori', '.']"
4782.json,half-true,"['<num>', ',', 'one', 'administr', 'everi', 'teacher', 'colleg', 'campus', 'unit', 'state', '.']"
5934.json,false,"['say', 'sit', 'right', ',', 'medicar', ',', 'noth', ',', 'gone', 'eight', 'year', ',', 'noth', '.']"
10728.json,barely-true,"['say', 'howard', 'zinn', ',', 'anti-american', 'marxist', ',', 'wrote', 'popular', 'textbook', 'that', 'taught', 'high', 'school', 'america', '.']"
8671.json,mostly-true,"['say', 'harri', 'reid', 'better', 'vote', 'attend', 'record', 'three', 'congressmen', '!']"
11824.json,false,"['job', 'solar', 'oil', '.']"
10522.json,barely-true,"['isi', 'predominantislamist', 'group', 'benghazi', '.']"
3114.json,mostly-true,"['mani', 'quarter', 'student', 'arent', 'even', 'finish', 'high', 'school', '.']"
8203.json,half-true,"['wisconsin', 'health', 'insur', 'exchang', ',', 'societi', 'actuari', 'point', 'therel', ',', 'accord', ',', '<num>', 'percent', 'increas', 'individu', 'premium', 'next', 'coupl', 'year', 'obamacar', '.']"
2709.json,false,"['rick', 'perri', 'take', 'money', 'away', 'hurrican', 'victim', 'divert', 'remodel', 'governor', 'mansion', '.']"
8550.json,mostly-true,"['given', 'expans', 'program', 'alreadi', ',', 'expand', 'medicaid', 'new', 'jersey', 'due', 'obamacar', 'rel', 'small', 'expans', '.']"
10330.json,mostly-true,"['reason', 'cuban', 'dont', 'access', '21st', 'centuri', 'telecommun', 'like', 'smart', 'phone', ',', 'like', 'access', 'internet', 'illeg', 'cuba', '.']"
10420.json,half-true,"['sinc', '<num>', ',', 'america', 'put', 'peopl', 'back', 'work', 'europ', ',', 'japan', ',', 'advanc', 'economi', 'combin', '.']"
8577.json,half-true,"['say', 'barack', 'obama', 'approv', 'rate', 'right', 'averag', 'second-term', 'presid', 'point', '.']"
12914.json,true,"['<num>', '%', 'hispan', 'student', 'count', 'pell', 'grant', 'pay', 'colleg', '.']"
4727.json,false,"['georg', 'allen', 'u.s.', 'senat', 'candidaci', '.']"
11640.json,half-true,"['say', 'ampl', 'mean', 'tell', 'someon', 'christian', 'middl', 'east', '...', 'name', ',', 'theyr', 'born', ',', 'birth', 'certif', '.']"
5268.json,barely-true,"['<num>', ',', 'went', 'author', 'letter', '<num>', 'senat', 'ask', 'major', 'reform', 'freddi', 'fanni', ',', 'warn', 'meltdown', 'bubbl', 'hous', 'market', '.']"
9551.json,false,"['justin', 'amash', 'rate', 'michigan', '.', '<num>', 'conserv', 'nation', 'right', 'life', '.']"
5916.json,pants-fire,"['say', 'marci', 'kaptur', 'attack', 'militari', 'servic', 'train', 'air', 'forc', ',', 'show', 'disrespect', 'veteran', '.']"
11193.json,half-true,"['email', 'releas', 'public', 'show', 'hillari', 'clinton', 'discuss', 'locat', 'ambassador', 'steven', ',', 'cours', 'murder', ',', 'libya', '.']"
3173.json,pants-fire,"['citi', 'build', 'code', 'violat', 'properti', 'involv', 'exterior', 'issu', ';', 'within', 'household', ',', 'fine', '.']"
4878.json,pants-fire,"['peopl', 'use', 'food', 'stamp', 'anyth', ',', 'includ', 'go', 'hawaii', ',', 'even', 'millionair', 'qualifi', '.']"
5104.json,half-true,"['hire', 'lot', 'bureaucrat', '.', 'that', 'presid', 'done', '.', 'he', 'ad', '<num>', 'peopl', 'govern', 'workforc', '.']"
7286.json,mostly-true,"['milwauke', 'counti', 'board', 'staff', 'grew', 'four', 'worker', '<num>', 'four', 'decad', 'cost', 'taxpay', 'lot', ',', 'total', 'counti', 'workforc', 'cut', 'half', 'period', '.']"
10010.json,half-true,"['rick', 'scott', ',', 'histor', '$', '<num>', 'billion', 'fund', 'educ', '.']"
9976.json,mostly-true,"['say', 'presid', 'barack', 'obama', 'launch', 'twice', 'mani', 'strike', '(', ')', 'countri', 'predominantli', 'muslim', 'presid', 'georg', 'w.', 'bush', '.']"
10535.json,false,"['nine', 'hundr', 'peopl', 'fire', 'sinc', 'becam', 'secretari', '(', 'veteran', 'affair', ')', '.', 'weve', 'got', '<num>', 'peopl', 'fire', 'manipul', 'wait', 'time', '.']"
6194.json,false,"['presid', 'obamashealth', 'care', 'law', 'govern', 'takeov', 'healthcar', '.']"
5408.json,half-true,"['say', 'private-sector', 'job', 'growth', '<num>', 'place', 'new', 'jersey', 'top', 'third', 'among', 'state', '.']"
9193.json,half-true,"['rhode', 'island', ',', 'nearli', '<num>', 'percent', 'cover', 'employe', 'go', 'short', 'term', 'disabl', 'everi', 'year', ',', 'averag', 'outag', 'work', 'almost', '<num>', 'week', '.']"
11637.json,mostly-true,"['milwauke', 'counti', 'execut', 'sell', 'public', 'museum', ',', 'airport', 'zoo', '--', ',', 'without', 'counti', 'board', 'approv']"
524.json,false,"['sen.', 'obama', 'want', '``', 'enact', 'singl', 'largest', 'tax', 'increas', 'sinc', 'second', 'world', 'war', '.', ""''""]"
8792.json,barely-true,"['<num>', ',', 'carlo', 'lpez-cantera', 'staunchli', 'support', 'florida', 'bill', 'model', 'arizona', 'immigr', 'law']"
3083.json,mostly-true,"['say', 'data', 'center', 'budget', 'polici', 'prioriti', 'suggest', 'texa', 'budget', 'gap', 'wors', 'new', 'york', ',', 'bad', 'california', ',', 'quit', 'new', 'jersey', 'level', '.']"
9129.json,mostly-true,"['two-third', 'peopl', 'receiv', 'minimum', 'wage', 'femal', '.']"
11285.json,half-true,"['republican', 'led', 'two', 'month', 'led', 'everi', 'state', 'gop', 'nomin', '.']"
400.json,false,"['mccain', 'bush', 'favor', 'tax', 'break', 'oil', 'compani', '.']"
8277.json,false,"['<num>', 'percent', 'candid', '(', 'nation', 'rifl', 'associ', ')', 'endors', '<num>', '.']"
11304.json,false,"['say', 'donald', 'trump', 'poll', 'number', 'show', 'he', 'highest', 'hispan', 'republican', 'ever', '.']"
2535.json,half-true,"['marco', 'rubio', 'want', 'rais', 'social', 'secur', 'retir', 'age', ',', 'cut', 'benefit', '.']"
3513.json,half-true,"['discretionari', 'spend', 'increas', '<num>', '-some', 'percent', 'two', 'year', 'dont', 'includ', 'stimulu', '.', 'put', 'stimulu', ',', '<num>', 'percent', '.']"
12377.json,pants-fire,"['univers', 'wisconsin-milwauke', '<num>', 'student', 'per', 'faculti', 'member', ',', 'tie', 'second-lowest', 'histori', 'sinc', '<num>', '.']"
3267.json,half-true,"['oregon', 'health', 'plan', 'ration', 'cover', 'procedur', 'certain', 'circumst']"
12913.json,half-true,"['iran', 'nuclear', 'deal']"
5052.json,true,"['georgia', 'unemploy', 'rate', 'exceed', 'nation', 'rate', '<num>', 'consecut', 'month', '.']"
2481.json,false,"['charg', 'toll', 'motorist', 'use', 'ga.', '<num>', 'slate', 'expir']"
8397.json,pants-fire,"['$', '<num>', 'million', 'fire', 'fee', 'propos', 'st.', 'petersburg', 'inspir', 'gov', '.', 'rick', 'scott', '.']"
9750.json,half-true,"['startup', 'rate', 'hispan', 'busi', 'three', 'time', 'nation', 'rate', '.']"
593.json,barely-true,"['made', 'time', 'go', 'gym', ',', 'cancel', 'visit', 'wound', 'troop', '.', 'seem', 'pentagon', 'would', ""n't"", 'allow', 'bring', 'camera', '.']"
1774.json,half-true,"['say', 'cut', ""'tax"", 'rate', 'five', 'time', ""'""]"
2655.json,false,"['bruce', 'starr', 'senat', 'vote', 'stronger', 'ethic', 'law', 'greater', 'account', '.']"
7130.json,half-true,"['broward', 'republican', 'execut', 'committe', 'liber', 'leagu', 'women', 'voter', 'guid', 'remov', 'broward', 'supervisor', 'elect', 'websit', '.']"
1032.json,half-true,"['judg', 'sotomayor', 'said', '``', 'polici', 'made', 'u.s.', 'court', 'appeal', '.', ""''""]"
8807.json,barely-true,"['peopl', 'potshoot', '...', 'stab', '...', 'strangl', ',', 'drive', 'influenc', ',', 'kill', 'famili', '.']"
7305.json,true,"['sinc', 'take', 'offic', 'januari', '<num>', ',', 'raini', 'day', 'fund', 'increas', '<num>', 'percent', '.']"
6581.json,false,"['say', 'provid', 'mayor', ',', 'david', 'cicillin', 'said', 'citi', 'world-class', 'school', 'system', '.', 'provid', 'world-class', 'school', 'system', 'measur', ',', 'amongst', 'last', 'school', 'system', 'entir', 'countri', '.']"
5895.json,barely-true,"['georgia', 'crackdown', 'illeg', 'immigr', 'cost', 'state', 'farmer', '$', '<num>', 'million', 'last', 'year', '.']"
1695.json,mostly-true,"['american', 'spend', '<num>', 'day', 'year', 'work', 'govern', 'even', 'start', 'work', '.']"
2200.json,barely-true,"['ive', 'shut', 'pill', 'mill', '.']"
12707.json,barely-true,"['defi', 'stand-down', 'order', 'benghazi', 'attack', '.']"
8868.json,half-true,"['<num>', ',', 'iran', 'less', 'american', 'alli', '.']"
10389.json,barely-true,"['<num>', 'percent', 'releas', 'guantanamo', 're-ent', 'fight', '.']"
11019.json,true,"['say', 'releas', '<num>', 'year', 'tax', 'return', 'presidenti', 'candid', 'histori', '.']"
1985.json,half-true,"['``', 'stood', 'barack', 'obama', 'pass', 'legisl', 'prevent', 'forc', 'join', 'govern', 'health', 'plan', 'buy', 'health', 'insur', '.', ""''""]"
3014.json,true,"['never', 'propos', 'privat', '(', 'milwauke', 'counti', ')', 'airport', '.']"
5246.json,true,"['day', ',', '<num>', 'veteran', 'taken', 'live', '.', 'daili', 'averag', ',', 'intoler', ',', 'stop', '.']"
8680.json,half-true,"['greg', 'abbott', 'defend', '$', '<num>', 'billion', 'public', 'school', 'fund', 'cut', 'fight', 'hundr', 'school', 'district', 'court', '.']"
11467.json,false,"['word', 'progress', '...', 'creat', 'substitut', 'forcommunist', '.']"
8787.json,true,"['(', ')', 'ore', 'georgian', 'job', 'time', 'sinc', 'octob', '<num>', '.']"
5948.json,mostly-true,"['florida', 'judg', 'rule', 'part', 'obamacar', 'unconstitut', '.']"
4288.json,false,"['standard', 'poor', 'drop', 'credit', 'rate', ',', 'said', ',', 'dont', 'abil', 'repay', 'debt', '.', '...', 'prove', 'right', 'posit', 'debt', 'ceil', 'rais', '.']"
6452.json,half-true,"['know', 'romney', 'person', 'approv', '$', '<num>', 'million', 'fiction', 'loss', 'ir', 'part', 'notori', 'son', 'boss', 'tax', 'scandal', ',', 'one', 'largest', 'tax', 'avoid', 'scheme', 'histori', '.']"
5715.json,pants-fire,"['presid', 'barack', 'obama', 'doubl', 'size', 'govern', 'sinc', 'took', 'offic', '.']"
11021.json,true,"['hous', 'repres', 'vote', '<num>', '-', '<num>', 'remov', 'country-of-origin', 'label', 'chicken', ',', 'pork', ',', 'beef', 'sold', 'u.', '.']"
7377.json,half-true,"['say', 'administr', 'made', 'progress', 'border', 'enforc', 'put', 'boot', 'southern', 'border', 'time', 'histori', 'reduc', 'illeg', 'cross', 'lowest', 'level', '<num>', 'year', '.']"
11567.json,false,"['chines', 'syria', '.']"
10144.json,true,"['say', 'sen.', 'rand', 'paul', '<num>', 'budget', 'includ', 'big', 'cut', 'cdc', '.']"
8547.json,half-true,"['youv', 'seen', 'go', '$', '<num>', 'million', 'surplu', 'get', 'next', 'biennium', 'almost', '$', '<num>', 'million', 'deficit', '.']"
9843.json,barely-true,"['russia', 'divers', 'government', 'represent', 'texa', '.']"
11604.json,half-true,"['say', 'russ', 'feingold', 'want', 'get', 'money', 'polit', '.', 'he', 'profit', 'dark', 'money', '.']"
2387.json,barely-true,"['dewin', 'took', '$', '<num>', 'million', 'big', 'bank', ',', 'support', 'legisl', 'help', 'berni', 'madoff', 'make', 'million', 'protect', 'predatori', 'lender', 'famili', 'lost', 'home', '.']"
11232.json,pants-fire,"['say', 'bobbi', 'jindal', 'parent', 'use', 'birthright', 'citizenship', 'becom', 'american', ',', 'make', 'anchor', 'babi', '.']"
4848.json,true,"['u.s.', 'would', 'gainrevenu', 'cut', 'person', 'incom', 'tax', 'rate', 'half', 'end', 'tax', 'break', '.']"
7221.json,half-true,"['say', 'detroit', 'dump', 'bunch', 'sewag', 'lake', 'eri', 'caus', 'big', 'problem', 'ohio', '.']"
7648.json,false,"['obamacar', ',', 'virginia', 'taxpay', 'would', 'forc', 'pay', 'abort', 'gener', 'assembl', 'recent', 'interven', '.']"
13067.json,false,"['say', 'patrick', 'murphi', 'candid', 'vote', 'everi', 'measur', 'fund', 'zika', '.']"
150.json,true,"['child', 'left', 'behind', 'similar', 'piec', 'legisl', 'state', 'number', 'year', 'ago', ',', 'well', 'feder', 'law', '.', ""'s"", 'big', 'impact', '.', ""'s"", 'improv', 'school', '.']"
13027.json,mostly-true,"['classifi', 'materi', 'header', 'say', 'top-secret', ',', 'secret', ',', 'confidenti', '.', 'noth', ',', 'repeat', 'verifi', 'report', 'depart', 'justic', ',', 'none', 'email', 'sent', 'receiv', 'header', '.']"
3867.json,false,"['seventh', 'highest', 'tax', 'state', 'america', '.', 'that', 'state', ',', 'local', 'well', '.']"
3167.json,mostly-true,"['say', 'predict', 'weather', 'better', 'punxsutawney', 'phil', '.']"
6297.json,false,"['say', 'stimulu', 'money', 'went', 'buy', 'electr', 'car', 'finland', 'payback', 'obama', 'support', '.']"
2398.json,false,"['allen', 'west', 'call', 'social', 'secur', 'ponzi', 'scheme', 'said', 'countri', 'got', 'get', 'sound', 'foot', 'destroy', '.']"
12592.json,false,"['elimin', 'influenc', 'money', 'polici', 'campaign']"
4683.json,mostly-true,"['say', 'wasnt', 'senat', 'colleagu', 'abl', 'wrangl', 'actual', 'stream', 'video', 'bp', 'scientist', 'abl', 'calcul', 'oil', 'spill', 'flow', '.']"
7843.json,mostly-true,"['bag', 'cheeto', 'cost', 'less', 'buy', 'appl', ',', 'milwauke', 'neighborhood', 'good', 'luck', 'tri', 'find', 'appl', 'banana', 'sort', 'healthi', 'option']"
11914.json,barely-true,"['virginia', 'law', ',', 'non-feder', 'licens', '(', 'gun', ')', 'dealer', ',', 'get', 'background', 'check', 'even', 'want', 'one', '.']"
12138.json,mostly-true,"['say', 'gop', 'help', 'pay', 'justic', 'rebecca', 'bradley', 'campaign', 'recent', 'skip', 'court', 'attend', 'event', 'paid', 'scott', 'walker', 'lobbyist', 'friend', '.']"
3241.json,true,"['senat', 'webb', 'reliabl', 'vote', 'presid', 'obama', 'senat', 'harri', 'reid', '.']"
5877.json,true,"['say', 'candid', 'race', 'clackama', 'counti', 'chair', 'refus', 'join', 'public', 'employe', 'retir', 'system', '.']"
10495.json,barely-true,"['<num>', 'million', 'american', 'arent', 'work', '.']"
8065.json,false,"['homicid', 'black', 'tripl', 'sinc', 'florida', 'stand', 'ground', 'law', 'exist', '.']"
13347.json,mostly-true,"['say', 'donald', 'trump', 'first', 'person', 'run', 'presid', ',', 'republican', 'democrat', ',', 'refus', 'say', 'would', 'respect', 'result', 'elect', '.']"
2472.json,false,"['downsiz', 'pinella', 'counti', 'govern', 'result', '<num>', 'peopl', 'laid', '<num>', 'percent', 'unemploy', 'market', '.', 'tell', 'everi', 'one', 'hire', 'time', 'ms.', 'latvala', 'went', 'offic', '<num>', '.']"
5880.json,true,"['say', 'austin', 'mayor', 'lee', 'leffingwel', 'vote', 'toll', 'lane', 'mopac', '.']"
1789.json,mostly-true,"['last', '<num>', 'year', ""'ve"", '<num>', 'barrel', 'oil', 'spill', 'gulf', '...', 'count', 'hurrican', '.', 'well', 'spew', 'amount', 'everi', 'day', 'half', '.']"
226.json,half-true,"['thank', 'presid', 'bush', ""'s"", 'polici', '....', 'incom', 'gap', 'higher', 'time', 'sinc', 'great', 'depress', '.']"
5057.json,half-true,"['santorum', 'also', 'vote', 'teapot', 'museum', 'north', 'carolina', '.']"
4765.json,half-true,"['wisconsin', ',', 'gov', '.', 'scott', 'walker', 'creat', 'manufacturing-l', 'job', 'recoveri', '.', '<num>', 'new', 'job', 'creat', 'year', ',', '<num>', 'creat', 'struggl', 'manufactur', 'sector', '.']"
10998.json,half-true,"['poll', 'indic', 'white', 'peopl', 'think', 'black', 'peopl', 'less', 'intellig', '.', 'think', 'theyr', 'less', 'trustworthi', ',', 'less', 'patriot', '.']"
1945.json,half-true,"['everi', 'small', 'busi', 'state', ',', 'averag', ',', 'abl', 'creat', 'one', 'new', 'job', 'would', 'cut', 'unemploy', 'rate', 'half', '.']"
8453.json,barely-true,"['congress', ',', 'crimin', ',', 'scientologist', 'group', 'exempt', 'obamacar', '.']"
8675.json,mostly-true,"['<num>', 'percent', 'worker', 'dont', '...', 'singl', 'paid', 'sick', 'day', '.']"
10203.json,true,"['ill', 'economist', '(', 'u.s.', ')', 'hous', '.']"
12553.json,mostly-true,"['al-qaida', 'oper', ',', 'said', ',', 'hey', ',', 'want', 'use', 'loophol', '(', 'purchas', 'gun', 'despit', 'watch', 'list', ')', 'attack', 'kill', 'american', '.']"
10360.json,barely-true,"['estim', 'say', 'individu', 'escap', 'high', 'tax', 'state', 'taken', 'around', '$', '<num>', 'trillion', 'adjust', 'gross', 'incom', '.']"
1069.json,pants-fire,"['aclu', 'file', 'suit', 'militari', 'cross-shap', 'headston', 'remov', '.']"
2938.json,half-true,"['overwhelm', 'major', 'american', 'support', 'passag', 'dream', 'act', ',', 'would', 'provid', 'path', 'citizenship', 'undocu', 'youth', 'will', 'work', 'colleg', 'degre', 'serv', 'arm', 'forc', '.']"
11514.json,false,"['say', 'ohio', 'gov', '.', 'john', 'kasich', 'got', 'lucki', 'thing', 'call', 'frack', ',', 'ohio', 'well', '.']"
6754.json,barely-true,"['jame', 'langevin', 'receiv', 'almost', '$', '<num>', 'million', 'taxpay', 'special', 'interest', 'use', 'discret', 'supposedli', 'champion', 'rhode', 'island', 'need', '.']"
1621.json,true,"['associ', 'press', 'call', 'charli', 'crist', ""'s"", 'attack', '``', 'top', ',', ""''"", '``', 'context', ',', ""''"", '``', 'true', '.', ""''""]"
11318.json,mostly-true,"['major', 'oil-produc', 'nation', 'world', 'self-impos', 'ban', 'export', 'crude', 'oil', 'nation', '.']"
6800.json,false,"['say', '<num>', 'millionair', 'game', 'system', 'pay', 'incom', 'tax', '.']"
3336.json,false,"['say', 'barack', 'obama', 'grew', 'kenya', '.']"
8564.json,half-true,"['state', 'budget', 'actual', 'grown', '$', '<num>', 'billion', 'gov', '.', 'scott', 'walker', 'action', '.']"
3657.json,true,"['<num>', 'percent', 'babi', 'syndrom', 'abort', '.']"
5250.json,false,"['say', 'steve', 'job', 'respons', 'creat', 'job', 'stimulu', 'bill', '.']"
6775.json,false,"['say', 'cant', 'destroy', 'gun', 'purchas', '(', 'gun', ')', 'buyback', 'program', 'citi', '(', 'memphi', ')', 'want', '.']"
3920.json,true,"['taxpay', 'pay', 'roughli', '<num>', 'percent', 'birth', 'wisconsin', '!', '<num>', 'percent', 'birth', 'milwauke', '!', '!', '!']"
3033.json,true,"['new', 'provis', 'health', 'care', 'law', 'bar', 'use', 'offlex', 'spend', 'account', 'health', 'save', 'account', 'pay', 'aspirin', 'non-prescript', 'health', 'need', '.']"
9660.json,half-true,"['say', 'rick', 'scott', 'cut', 'bright', 'futur', 'scholarship', 'half', '.']"
1253.json,mostly-true,"['baucu', 'health', 'care', 'bill', 'would', 'requir', 'tax', 'medic', 'devic', 'x-ray', 'machin', ',', 'femal', 'condom', ',', 'hiv', 'test', 'surgic', 'needl', '.']"
11759.json,half-true,"['say', 'presid', 'barack', 'obama', 'appoint', 'eric', 'holder', 'attorney', 'gener', '.', 'eric', 'holder', 'said', 'view', 'mission', 'brainwash', 'american', 'peopl', 'gun', '.']"
11211.json,false,"['say', 'patrick', 'murphi', 'hasnt', 'pass', 'singl', 'bill', 'committe', '.']"
5829.json,true,"['wisconsin', 'lost', 'job', 'past', '<num>', 'month', 'state', '.']"
13165.json,false,"['frack', 'wast', 'dump', 'new', 'york', 'state']"
3874.json,barely-true,"['best', 'school', 'unit', 'state', '.']"
7314.json,half-true,"['say', 'oak', 'grove', 'one', 'largest', 'citi', 'oregon', 'biggest', 'citi', 'clackama', 'counti', 'citi', '.']"
5051.json,true,"['taxpay', 'earn', '$', '<num>', 'million', 'pay', 'effect', 'tax', 'rate', 'four', 'time', 'taxpay', 'earn', '$', '<num>', 'pay', '.']"
1273.json,barely-true,"['health', 'propos', 'would', 'creat', '``', '<num>', '%', 'tax', 'health', 'care', 'benefit', 'middle-class', 'worker', '.', ""''""]"
10404.json,half-true,"['say', 'mitt', 'romney', 'pay', 'less', 'tax', 'guy', 'instal', 'car', 'elev', '.']"
11907.json,barely-true,"['sinc', 'januari', '<num>', ',', 'major', 'austin', 'citi', 'council', 'meet', 'extend', 'past', '<num>', 'p.m.', 'mani', 'meet', 'gone', 'past', 'midnight', '.']"
7736.json,half-true,"['six', '<num>', 'highest', 'unemploy', 'rate', 'also', 'so-cal', 'right', 'work', 'state', '.']"
1349.json,barely-true,"['democrat', 'health', 'plan', ',', 'famili', 'forc', 'spend', 'addit', '$', '<num>', 'year', 'keep', 'current', 'health', 'care', '.']"
2913.json,half-true,"['citi', 'atlanta', 'rank', '25th', 'among', 'u.s.', 'citi', 'highest', 'crime', 'rate', '.']"
6878.json,pants-fire,"['say', 'mitt', 'romney', 'plan', 'fire', 'big', 'bird', '.']"
9552.json,mostly-true,"['say', 'greg', 'abbott', 'lost', 'court', 'four', 'time', 'past', 'day', '.']"
13491.json,half-true,"['studi', 'studi', 'shown', 'sanctuari', 'citi', 'lead', 'increas', 'crime', 'presenc', 'peopl', 'undocu', '.']"
1916.json,pants-fire,"['without', 'represent', ',', '(', 'ir', ')', 'increas', 'tax', '.']"
9710.json,false,"['mani', 'peopl', 'critic', 'secretari', '(', 'john', ')', 'kerri', 'go', 'pari', 'talk', 'hama', ',', 'kerri', 'seen', 'support', 'hama', 'exclus', 'arab', 'leagu', '.']"
8393.json,false,"['<num>', 'half', 'year', 'sinc', 'unit', 'state', 'senat', 'pass', 'budget', '.']"
1304.json,false,"['republican', ""'"", 'altern', 'health', 'care', 'plan', '``', 'still', 'let', 'insur', 'rais', 'premium', 'four', 'time', 'faster', 'wage', '.', ""''""]"
1973.json,pants-fire,"['transcript', 'releas', 'occident', 'colleg', 'prove', 'barack', 'obama', 'indonesian', 'citizen', '.']"
6380.json,mostly-true,"['one', 'everi', 'two', 'kid', 'graduat', 'colleg', 'right', 'cant', 'find', 'job', '.']"
9883.json,half-true,"['wisconsin', 'deficit', '.', 'thank', 'republican', 'reform', ',', '<num>', 'budget', 'begin', '$', '<num>', 'million', 'surplu', '.']"
1669.json,pants-fire,"['path', 'obamacar', 'becom', 'law', 'start', 'charli', 'crist', 'support', 'presid', 'obama', ""'s"", '$', '<num>', 'billion', 'stimulu', '.']"
5792.json,half-true,"['univers', 'florida', 'announc', 'past', 'week', 'drop', 'comput', 'scienc', 'depart', '...', 'meanwhil', ',', 'athlet', 'budget', 'current', 'year', '$', '<num>', 'million', ',', 'increas', '$', '<num>', 'million', 'last', 'year', '.']"
4688.json,half-true,"['say', 'texa', 'unemploy', 'dire', 'variou', 'way', 'doubl', 'jobless', 'rate', 'rick', 'perri', 'governorship', '.', 'also', ',', 'texa', 'rate', 'increas', 'faster', 'nation', 'rate', 'barack', 'obama', 'presid', '.']"
8876.json,barely-true,"['cbo', 'say', 'presid', 'health', 'care', 'law', 'cut', 'number', 'full-tim', 'job', 'unit', 'state', '<num>', 'million', '<num>', '.']"
9695.json,barely-true,"['seek', 'impeach', 'presid', 'bush', '.']"
2319.json,half-true,"['buck', 'want', 'privat', 'social', 'secur', '.']"
9282.json,barely-true,"['discuss', 'attack', 'u.s.', 'consul', 'benghazi', ',', 'libya', ',', 'ms', '.', 'rice', 'say', 'terrorist', 'attack', '.', 'put', 'whole', 'thing', 'video', '.']"
8629.json,true,"['time', 'turn', '<num>', 'year', 'old', ',', 'child', 'born', 'low-incom', 'home', 'hear', '<num>', 'million', 'fewer', 'word', 'child', 'well-off', 'famili', '.']"
2480.json,half-true,"['gop', 'pledg', 'america', 'includ', '<num>', 'percent', 'cut', '...', 'educ', '.', '...', 'eight', 'million', 'kid', 'would', 'colleg', 'aid', 'slash', 'budget', '.']"
5618.json,false,"['say', 'governor', ',', 'wisconsin', 'cut', 'unemploy', '<num>', 'percent', 'state', 'unemploy', 'rate', 'lowest', 'countri', '<num>', 'consecut', 'month', '.']"
6453.json,pants-fire,"['say', 'josh', 'mandel', 'bet', 'ohio', 'famili']"
3907.json,pants-fire,"['say', 'u.s.', 'rep.', 'paul', 'ryan', 'promis', 'end', 'health', 'care', 'senior', '.']"
11331.json,half-true,"['obama', 'administr', 'environment', 'protect', 'agenc', 'said', 'clean', 'power', 'plan', 'margin', 'impact', 'climat', 'chang', '.']"
6476.json,false,"['<num>', 'floridian', 'abl', 'vote', '--', 'governor', 'wont', 'tell', '.']"
8441.json,barely-true,"['woodrow', 'wilson', 'borrow', '$', '<num>', 'billion', 'fund', 'world', 'war', '<num>', '.', 'money', 'paid', 'back', '.', 'still', 'pay', 'interest', '.']"
4490.json,barely-true,"['say', 'credit', 'rate', 'agenc', 'realiz', 'instabl', 'stem', 'larg', 'part', 'oregon', 'kicker', 'system', '.']"
9457.json,mostly-true,"['<num>', 'million', 'peopl', 'move', 'georgia', 'past', 'two', 'censu', 'count', ',', 'major', 'consid', ',', 'african-american', ',', 'latino', 'asian-american', '.']"
6609.json,mostly-true,"['say', 'romney-ryan', 'budget', '...', 'american', 'opportun', 'tax', 'credit', 'colleg', 'tuition', 'would', 'elimin', '.']"
7071.json,mostly-true,"['higher', 'educ', 'level', ',', 'like', 'vote', 'democrat', '.']"
7584.json,barely-true,"['say', 'u.s.', 'greenhous', 'ga', 'emiss', '<num>', '-year', 'low', '.']"
